Time,Random_Walk,White_Noise,D(Random_Walk)
165,90.21347766,-1.104847998,0.82206016
166,91.03553782,3.0708335,1.896792983
167,92.9323308,3.78753855,-0.245388116
168,92.68694269,-2.652505738,-0.753736164
169,91.93320652,-2.879091203,-0.88951443
170,91.04369209,-1.375258486,-0.815810285
171,90.22788181,-11.50960582,-0.077101709
172,90.1507801,-7.575955311,0.341151975
173,90.49193207,6.834371337,0.276690799
174,90.76862287,8.224838568,0.827183249
175,91.59580612,-1.245180198,0.013001892
176,91.60880801,2.882784815,1.453534077
177,93.06234209,1.556250773,-0.264656833
178,92.79768526,15.39440404,2.720169167
179,95.51785442,5.597874557,0.625667348
180,96.14352177,-0.639587957,-0.857157556
181,95.28636421,-4.777702203,-1.070892498
182,94.21547172,-8.032231601,0.482472415
183,94.69794413,1.017318179,-0.223462785
184,94.47448135,-3.781753726,0.714000494
185,95.18848184,-7.111268548,0.473237625
186,95.66171946,-3.232864421,-0.072828913
187,95.58889055,-5.407740018,-0.846793718
188,94.74209683,8.435708175,-1.514847225
189,93.22724961,4.408198785,-0.446514952
190,92.78073466,-0.039863207,0.856398794
191,93.63713345,7.399720694,0.214093744
192,93.8512272,0.386841538,-1.245738779
193,92.60548842,-4.306421007,0.173180926
194,92.77866934,7.615620386,0.38531738
195,93.16398672,2.694550218,-0.883857436
196,92.28012929,-5.186230772,0.153725106
197,92.43385439,-0.95169339,0.058208718
198,92.49206311,-4.378091267,-1.142970298
199,91.34909281,-6.913998655,0.35778736
200,91.70688017,4.630887738,0.560784526
201,92.2676647,9.547083202,1.083051243
202,93.35071594,-6.992837869,1.053802052
203,94.40451799,2.814846183,-1.377669368
204,93.02684863,-3.253212846,-0.93782504
205,92.08902359,-2.435626919,0.515035267
206,92.60405885,-2.961969621,0.513785951
207,93.1178448,-4.319953848,0.515047686
208,93.63289249,0.24260814,3.852731491
209,97.48562398,-4.154750582,0.570890511
210,98.05651449,1.352284129,1.13556564
211,99.19208013,-0.251190547,0.954001763
212,100.1460819,-1.194740234,0.651391251
213,100.7974731,-4.53781831,-0.315269245
214,100.4822039,-2.883856653,0.75896922
215,101.2411731,3.776956129,-0.772825215
216,100.4683479,2.504585938,-0.236818607
217,100.2315293,-4.887776224,-0.485363548
218,99.74616575,0.496661527,0.081874139
219,99.82803989,3.756935617,2.314658567
220,102.1426985,-8.347026406,-1.867265193
221,100.2754333,2.716800962,0.68626019
222,100.9616935,-3.313118795,-1.612715871
223,99.34897759,2.852993343,-0.471931866
224,98.87704572,-3.816295783,1.088950597
225,99.96599632,-9.024410503,0.064280019
226,100.0302763,-8.137712189,-1.077744778
227,98.95253156,0.240424733,-0.715303709
228,98.23722785,1.298612509,0.679597749
229,98.9168256,-4.521583126,-0.730366632
230,98.18645897,3.192962294,0.21645859
231,98.40291756,-8.307600311,0.04557184
232,98.4484894,-0.330398993,-0.651600348
233,97.79688905,-6.055080999,2.143944089
234,99.94083314,-3.259180539,0.633919022
235,100.5747522,0.236993357,-2.025142587
236,98.54960957,-4.302066826,0.186454315
237,98.73606389,-1.922777721,-0.661786465
238,98.07427742,5.031464046,0.852433335
239,98.92671076,-2.884459348,-0.792520738
240,98.13419002,4.17846056,-0.114736441
241,98.01945358,-5.648534273,0.504987279
242,98.52444086,2.64902089,0.865755194
243,99.39019605,7.207843103,-1.200296407
244,98.18989964,-12.3582225,-0.334501236
245,97.85539841,-3.984476277,-0.474945311
246,97.3804531,2.885360636,-0.653329233
247,96.72712387,-1.01522693,1.76545424
248,98.49257811,1.855729367,0.404981711
249,98.89755982,-3.019925934,-1.260883954
250,97.63667586,0.432948937,0.917861947
251,98.55453781,-0.778386177,2.122156197
252,100.676694,5.838910308,1.032465261
253,101.7091593,1.272104217,-1.519369966
254,100.1897893,1.68801331,-0.484234073
255,99.70555523,-2.059384831,1.266911149
256,100.9724664,-2.43803112,-0.707669466
257,100.2647969,-2.162790939,0.443819428
258,100.7086163,1.972260712,0.774634053
259,101.4832504,-2.104922404,-0.926930472
260,100.5563199,1.448874284,-0.059525356
261,100.4967946,10.37700399,-3.24126734
262,97.25552723,4.355623517,-1.024387641
263,96.23113958,-1.630117661,-0.252568151
264,95.97857143,6.006069611,-1.247783182
265,94.73078825,-2.040376865,1.632411304
266,96.36319955,-10.19062268,-1.430141378
267,94.93305818,-5.040431555,-0.440044487
268,94.49301369,-9.353959605,0.130740577
269,94.62375427,-1.75756742,1.441273289
270,96.06502756,0.092091896,-1.435862151
271,94.62916541,8.382186561,1.163163752
272,95.79232916,1.634636869,0.010233061
273,95.80256222,-1.095502644,-0.981508651
274,94.82105357,4.147027906,0.462103474
275,95.28315704,-11.05567655,0.199059696
276,95.48221674,1.178072791,-0.600216877
277,94.88199986,3.854325969,0.069802085
278,94.95180195,-7.392931229,-0.385313597
279,94.56648835,5.718770216,0.113517345
280,94.68000569,1.692482037,0.662130675
281,95.34213637,-2.07643957,1.586016816
282,96.92815318,3.163909331,-1.237815499
283,95.69033769,11.35346429,2.133033375
284,97.82337106,0.909331275,-1.9520878
285,95.87128326,1.241102932,-0.151785095
286,95.71949817,-2.296804498,0.588317206
287,96.30781537,-4.249221847,0.280991868
288,96.58880724,4.151679083,-0.62269952
289,95.96610772,-4.28041913,-0.20812225
290,95.75798547,0.357831186,-0.493000935
291,95.26498453,-2.388287234,-0.589364757
292,94.67561978,2.394899129,0.849602097
293,95.52522187,1.668310526,0.357015486
294,95.88223736,5.187699721,-0.692909595
295,95.18932777,-2.550081994,0.899599875
296,96.08892764,-1.349374676,0.307299521
297,96.39622716,-4.893818579,0.812862119
298,97.20908928,-2.2214663,0.629628842
299,97.83871812,1.886502465,
